feature,permutation_importance,integrated_gradients
hemoglobin,0.031433,0.006754032
alt,0.0,0.0057869856
bun,0.028898,0.005738471
mbp,0.0,0.005720129
resp_rate,0.017276,0.0056650103
hematocrit,0.009438,0.005202403
sodium,0.014391,0.0051671383
ast,0.0,0.004487641
wbc,0.011595,0.0041174
sbp,0.0,0.0037781906
bicarbonate,0.0,0.0037444904
chloride,0.029392,0.0031910874
platelet,0.0,0.003141514
potassium,0.0,0.0025013757
temperature,0.011668,0.0017897937
creatinine,0.0,0.0016558366
glucose,0.0,0.0015546671
spo2,0.0,0.0011430277
heart_rate,0.008988,0.0010529441
lactate,0.010848,0.00086940825
dbp,0.0,0.00024634766
