model,task,threshold,auroc,auprc,f1,accuracy,precision,recall,tn,fp,fn,tp,mean_auroc
Temporal-Only,sepsis,0.245,0.7398861271221857,0.7559064730789335,0.7448055407565264,0.6571224051539012,0.6291629162916291,0.912532637075718,219,412,67,699,0.7544000362718083
Temporal-Only,mortality,0.735,0.7689139454214309,0.42568108931933485,0.4121212121212121,0.7916964924838941,0.379182156133829,0.45132743362831856,1004,167,124,102,0.7544000362718083
Text-Only,sepsis,0.4599999999999999,0.7385630583474365,0.7673783869534745,0.7473806752037253,0.6893342877594846,0.6743697478991597,0.8381201044386423,321,310,124,642,0.7242377726083442
Text-Only,mortality,0.26999999999999996,0.7099124868692518,0.29564302524008357,0.37906647807637905,0.6857551896921976,0.2785862785862786,0.5929203539823009,824,347,92,134,0.7242377726083442
Multimodal-BestSingle,sepsis,0.39499999999999996,0.7863290479283992,0.8105376193901019,0.75453446191052,0.7093772369362921,0.7027027027027027,0.814621409921671,367,264,142,624,0.8012341717200697
Multimodal-BestSingle,mortality,0.35999999999999993,0.8161392955117402,0.49584597140803777,0.49586776859504134,0.7816750178954903,0.39577836411609496,0.6637168141592921,942,229,76,150,0.8012341717200697
Multimodal-Top2,sepsis,0.39499999999999996,0.7863290479283992,0.8105376193901019,0.75453446191052,0.7093772369362921,0.7027027027027027,0.814621409921671,367,264,142,624,0.8012341717200697
Multimodal-Top2,mortality,0.35999999999999993,0.8161392955117402,0.49584597140803777,0.49586776859504134,0.7816750178954903,0.39577836411609496,0.6637168141592921,942,229,76,150,0.8012341717200697
Multimodal-Ensemble,sepsis,0.39499999999999996,0.7863290479283992,0.8105376193901019,0.75453446191052,0.7093772369362921,0.7027027027027027,0.814621409921671,367,264,142,624,0.8012341717200697
Multimodal-Ensemble,mortality,0.35999999999999993,0.8161392955117402,0.49584597140803777,0.49586776859504134,0.7816750178954903,0.39577836411609496,0.6637168141592921,942,229,76,150,0.8012341717200697
